COMPANY,A01C,A01G,A01H,A01K,A01M,A01N,A01P,A21D,A23B,A23C,A23D,A23F,A23G,A23J,A23K,A23L,A23P,A24B,A24F,A41D,A44B,A45B,A45C,A45D,A47C,A47F,A47G,A47K,A47L,A61B,A61C,A61D,A61F,A61G,A61H,A61J,A61K,A61L,A61M,A61N,A61P,A61Q,A62B,A62D,A63B,A63F,B01D,B01F,B01J,B01L,B02C,B03B,B03C,B04B,B04C,B05B,B05C,B05D,B06B,B07B,B07C,B08B,B09B,B21D,B23K,B23P,B24B,B24D,B25H,B25J,B26D,B26F,B27K,B27N,B28B,B29B,B29C,B29D,B29K,B29L,B30B,B31B,B32B,B33Y,B41F,B41J,B41K,B41M,B43K,B43M,B60C,B60J,B60K,B60N,B60R,B63B,B64D,B65B,B65C,B65D,B65G,B65H,B66B,B66F,B67B,B67C,B67D,B81B,B81C,B82Y,C01B,C01D,C01F,C01G,C02F,C03B,C03C,C04B,C05B,C05D,C05G,C06B,C06D,C07B,C07C,C07D,C07H,C07K,C07M,C08B,C08C,C08F,C08G,C08H,C08J,C08K,C08L,C09B,C09C,C09D,C09F,C09J,C09K,C10B,C10G,C10L,C10M,C10N,C11B,C11C,C11D,C12C,C12F,C12G,C12H,C12J,C12M,C12N,C12P,C12Q,C12R,C13B,C22B,C22C,C23C,C23F,C25B,C25D,C25F,C30B,C40B,C01F,C02G,C03D,C04B,D04C,D04H,D06M,D06P,D21B,D21C,D21H,E01B,E02B,E04B,E04C,E04F,E04H,E06B,E06C,F21B,F01N,F15B,F16B,F16C,F16D,F16F,F16K,F17C,F21S,F21V,F21Y,F23J,F23Q,F24F,F26B,F28D,G01B,G01D,G01F,C01G,G01H,G01J,G01M,G01P,G01R,G01V,G02B,G02C,G02F,G03B,G03C,G03F,G03G,G04F,G05B,G05F,G06G,C06K,G06M,G06N,G06Q,C07F,G07G,G08B,C08G,G09B,G09F,C09G,G11B,G11C,G16B,G16C,G16H,G21F,G21G,G21K,H01B,H01F,H01G,H01H,H01J,H01L,H01M,H01Q,H01R,H01S,H01T,H02H,H02J,H02K,H02M,H02N,H03L,H03M,H04B,H04L,H04N,H04R,H04W,H05B,H05K
SEIKAGAKU CORP,0,0,0,0.005307051,0,0.00227445,0,0,0,0,0,0,0,0.0015163,0.0015163,0.00227445,0,0,0,0,0,0,0,0,0,0,0.00075815,0,0,0.003790751,0,0,0.00227445,0,0,0.0030326,0.344200152,0.037907506,0.008339651,0,0.422289613,0.00227445,0,0,0,0,0,0,0.0015163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011372252,0,0,0,0,0,0,0,0,0,0,0,0.003790751,0.00075815,0.0015163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015163,0.118271418,0,0,0.007581501,0.00075815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005307051,0,0,0.005307051,0,0,0,0,0,0,0,0,0,0.00075815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030326,0,0,0.00075815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIONOGI & CO LTD,0,0,0,0.002901354,0,0.005388229,0.00013816,0,0,0,0,0,0,0.00013816,0,0.001105278,0,0.00013816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276319,0,0,0.003039514,0.51436861,0.001243437,0.00013816,0,0.432163581,0.000828958,0.000276319,0,0,0,0.002072396,0.001105278,0.005250069,0,0.000276319,0,0,0.000276319,0,0,0,0.000414479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013816,0,0.001105278,0,0.000414479,0,0,0,0,0,0,0,0,0,0,0,0,0.001934236,0.000276319,0.009947499,0.000414479,0,0,0,0,0,0,0,0,0,0.000690799,0,0,0,0,0,0.00013816,0,0,0,0,0,0,0.005250069,0,0,0,0,0.000276319,0.000552639,0,0,0,0.00013816,0,0,0,0,0,0,0,0,0.000276319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414479,0,0,0,0,0,0,0,0,0,0,0.000552639,0,0,0,0,0,0,0.000276319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414479,0,0.00013816,0,0,0,0,0.00013816,0.00013816,0.00013816,0,0,0.00013816,0,0,0,0,0,0,0,0,0,0,0.00013816,0,0,0.003039514,0.000276319,0,0,0,0,0.000414479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552639,0,0,0,0,0,0,0,0,0,0,0.00013816,0,0,0,0,0,0,0,0,0
TAIKO PHARMA,0,0,0,0,0,0.054755043,0.023054755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0.002881844,0.146974063,0.126801153,0.002881844,0,0.270893372,0,0.023054755,0,0,0,0.002881844,0,0.09221902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0.043227666,0,0,0,0,0,0,0,0,0,0,0.09221902,0,0,0,0.008645533,0,0,0,0,0,0,0.005763689,0,0,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0,0.005763689,0.017291066,0.011527378,0,0.005763689,0.005763689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043227666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAISHO PHARMA,0,0,0,0.000837911,0,0.001303417,0.000279304,0,0,9.31012E-05,0,0.000372405,0.000837911,0,0,0.02560283,9.31012E-05,0,0,0,0,0,0,9.31012E-05,0,0,0,0,0,0.000558607,0,0,0,0,0,0.001303417,0.534773299,9.31012E-05,0.000465506,0,0.407597058,0.011823853,9.31012E-05,0,0,0,0.000279304,0.000186202,0.00232753,0,0,0,0,0,0,0.001210316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000837911,0,0,0.000279304,0.000465506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372405,0,0.004096453,0.000651708,0,9.31012E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000837911,0,0,0,0,0.000279304,0.000372405,0,0,0.000186202,0,0,0,0,0,0.000186202,0,0,0,0,9.31012E-05,0,0,0,0,0,0,0.000186202,0,0,0,0,0,0,0,0,9.31012E-05,9.31012E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279304,0,0,0,0.000279304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31012E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAKEDA PHARMA CO LTD,0,0,0,0.002877106,0,0.002055076,0,0,0,0,0,0,0.000411015,0,0,0,0,0,0,0,0,0,0,0,0.005343198,0,0.000411015,0,0,0.001233046,0,0,0.00082203,0.000411015,0,0.004110152,0.533086724,0.004932182,0.022605836,0,0.383888204,0.000411015,0,0,0,0.002055076,0.00082203,0.00082203,0.005343198,0,0,0,0,0,0,0.006165228,0,0,0,0,0,0,0,0,0,0.001644061,0,0,0.000411015,0,0,0,0,0,0,0,0.001233046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233046,0,0.002877106,0,0,0,0.000411015,0,0,0,0,0,0,0,0,0,0,0,0.006576243,0.000411015,0,0,0,0,0,0,0.000411015,0,0,0,0,0,0,0,0,0.000411015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001233046,0.000411015,0,0,0,0,0,0,0,0.00082203,0,0,0,0,0,0,0,0.000411015,0,0,0,0.000411015,0,0.000411015,0,0.000411015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TORII PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0.051020408,0.204081633,0,0.051020408,0,0.62244898,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051020408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOWA PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004431315,0.742983752,0,0.001477105,0,0.215657312,0,0,0,0,0,0.001477105,0,0.013293944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0,0,0,0,0,0,0,0,0,0.00295421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005908419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004431315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005908419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSUMURA & CO,0.001988072,0.02584493,0,0,0,0.011928429,0.003976143,0,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0.005964215,0,0.005964215,0,0,0.007952286,0.510934394,0.007952286,0,0,0.262425447,0.047713718,0,0,0,0,0,0,0.027833002,0,0,0,0,0,0,0,0,0,0,0,0,0.005964215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0.007952286,0.009940358,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0.003976143,0,0,0.005964215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0.001988072,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0,0,0,0,0,0,0.003976143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988072,0,0.003976143,0.009940358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005964215,0,0,0,0,0,0,0,0,0.001988072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZERIA PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003151261,0.025210084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210084,0,0,0.00105042,0.629201681,0.00105042,0.003151261,0,0.301470588,0.003151261,0,0.00210084,0.00210084,0,0.00210084,0,0.010504202,0,0,0,0,0,0,0,0.00105042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105042,0,0,0,0,0,0,0,0.00105042,0,0.00105042,0,0,0.00105042,0.004201681,0,0,0,0,0,0,0,0,0,0,0,0,0.004201681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RATIO,0.000119192,0.000749055,5.89537E-06,0.002024079,0.000178644,0.00547271,0.001331894,0.000109739,0.000337793,6.17283E-05,7.03836E-05,3.52406E-05,0.000225003,9.09444E-05,0.000775419,0.008689103,1.12884E-05,3.73405E-06,3.21559E-06,3.00434E-06,5.25613E-06,0.000519751,4.38608E-06,7.14194E-05,0.000149608,2.06523E-05,0.000100846,1.09482E-05,8.66598E-05,0.002299159,0.000193948,0.000127916,0.002285297,0.000196625,0.000629564,0.005171477,0.460033603,0.008537631,0.006452261,0.000465396,0.387126739,0.005479017,0.000641082,6.11655E-05,5.9849E-05,7.43998E-05,0.004242607,0.00113754,0.007644287,0.003836388,0.001654169,2.19304E-06,1.75102E-05,0.000292827,5.36251E-05,0.000535699,6.00556E-05,7.97171E-05,5.19738E-06,0.000368941,1.1304E-05,0.000175223,7.78877E-05,5.25613E-06,7.327E-06,4.66271E-05,4.13047E-05,6.88411E-06,1.11085E-05,7.79044E-06,7.39042E-06,1.98732E-05,2.19304E-06,3.70233E-06,4.38608E-06,1.46339E-05,0.00029505,2.19304E-06,2.22354E-05,1.19348E-05,7.35751E-05,9.73051E-05,0.001004934,1.75443E-05,2.7576E-05,4.91234E-05,2.23896E-05,6.76068E-05,1.93613E-05,1.61865E-05,2.41234E-05,3.21559E-06,3.21559E-06,6.43118E-06,3.21559E-06,2.19304E-06,2.83897E-05,0.000702649,5.69688E-05,0.021012055,0.000546704,4.42579E-05,2.51625E-06,1.54946E-05,5.20117E-05,1.90516E-05,6.06553E-05,0.00028267,1.37682E-05,0.000117133,0.002714381,0.000104646,4.71754E-05,0.000218129,0.000455149,0.000177736,1.48426E-05,7.45634E-05,2.19304E-06,2.19304E-06,0.000109656,0.000155775,5.25613E-06,0.001774268,1.83519E-05,1.40112E-05,5.25613E-06,2.58598E-05,0.000244406,0.0045019,8.77216E-06,9.07715E-06,0.000641548,2.64176E-05,7.78877E-05,4.38608E-06,2.38449E-05,6.00868E-06,5.54724E-05,2.19304E-06,6.88411E-06,6.88411E-06,0.000849526,0.000469842,0.000313744,3.00434E-06,0.000206215,0.000168934,8.03087E-05,3.11611E-05,0.000329834,3.00434E-06,0.000328631,2.54164E-05,3.00434E-06,3.00434E-06,0.008224329,5.25613E-06,0.000432439,0.000670206,0.000836921,6.57912E-06,4.32266E-06,6.38886E-06,9.12088E-05,3.28956E-05,0.001222123,2.12962E-06,2.12962E-06,0.000283686,0.016923718,5.47361E-05,2.19304E-06,2.19304E-06,6.88411E-06,3.21559E-06,4.01876E-05,0.000181572,1.59613E-05,3.21559E-06,3.21559E-06,8.5819E-06,3.00434E-06,2.19304E-06,1.52033E-05,4.38608E-06,1.84144E-05,3.06951E-06,3.77116E-05,1.11085E-05,2.12962E-06,4.38608E-06,3.00434E-06,1.05123E-05,2.19304E-06,2.19304E-05,2.19304E-06,7.59487E-05,8.26047E-06,2.19304E-06,2.19304E-06,5.89338E-06,7.78877E-05,3.21559E-06,1.98416E-05,0.000320163,6.00868E-06,2.98607E-05,1.85117E-05,0.001383456,0.000116818,1.11085E-05,2.50764E-05,5.29458E-05,3.73405E-06,0.000154689,2.19304E-06,0.000125122,0.000531295,1.30948E-05,1.57684E-05,6.00868E-06,0.003166621,2.36833E-05,4.38608E-06,6.65978E-05,7.38443E-06,0.000107463,0.000350458,9.64677E-06,2.98562E-05,0.000239002,1.40472E-05,2.7987E-06,4.32266E-06,1.33E-05,3.70233E-06,0.001828433,1.1107E-05,0.000219076,1.31582E-05,1.28578E-05,0.000171707,7.28961E-05,1.75443E-05,6.13902E-06,3.40858E-05,6.14051E-05,6.17267E-06,0.000155642,1.57684E-05,0.000100574,2.19304E-06,2.12962E-06,2.38698E-05,1.31582E-05,2.19304E-06,2.12962E-06,2.12962E-06,7.42769E-05,5.89537E-06,9.66545E-06,5.86367E-06,8.77216E-06,6.43118E-06,1.83555E-05,4.54417E-05,7.96817E-05,1.61728E-05,6.85432E-05,1.99217E-05,5.34585E-05
